Product Name,Product image,Price Range,Short Description,Tags,Categories
COM Economy 2 Date HB Diary,https://drive.google.com/file/d/1DhZnohPK2wq7SHSWEUdg67jldppVbejq/view?usp=sharing,36 - 40/-,"Small size double dates a page hard cover economy paper diary best fit for large scale gifting. Best economic diaries for gifting on this diwali and new year.

 

Size :  5.1 x 8 Inches. approx
Paper Quality : ECONOMY Paper
Page Format : Yearly dated with Two Date a Page Format
Cover Binding : Hard Bound
Monthly Planner : NO
Month Cutting : NO
Cover Colours : 8 Mix Colour cover

” COD facility not available for this product “

*This product has minimum order quantity restriction.

** If your order quantity is little less than MOQ then please write us."," com economy diary, diary, economy diary, hard bound diary, small size diary",NEW YEAR DIARY
COM Economy 1 Date Hard Bound diary,https://drive.google.com/file/d/18OFLC8xW5YG5jXgaf0EsmKwOxxALyn6K/view?usp=sharing,55 - 58/-,"Small size one date a page hard cover economy paper diary best fit for large scale gifting. Best economic diaries for gifting on this diwali and new year.

 

Size :  5.1 x 8 Inches approx
Paper Quality : ECONOMY Paper
Page Format : Yearly dated with One Date a Page Format
Cover Binding : Hard Bound
Monthly Planner : NO
Month Cutting : NO
Cover Colours : 8 Mix Colour cover

 

” COD facility not available for this product “

*This product has minimum order quantity restriction.

** If your order quantity is little less than MOQ then please write us."," diary, diary manufacturer, economical diary, economy diary, hard bound diary, small diary",NEW YEAR DIARY
"Executive 2 Date ECO HB Diary 2026
",https://drive.google.com/file/d/1U2ITNQMzl567-G6ogsfr7Pw5n1Q134jJ/view?usp=sharing,54 - 60/-,"Executive 2 Date ECO HB Diary 2026, beautifully designed cover, handy size easy to carry, economy price for bulk distribution, wide space for your advertisement. A perfect gift for this diwali & new year.

 

Size : B5 Size (7 x 9.1 Inches approx)
Paper Quality : ECONOMY Quality Paper
Page Format : Yearly dated with Two Date a Page Format
Cover Binding : Hard Bound
Monthly Planner : NO
Month Cutting : NO
Cover Colours : 8 Mix Colour Cover Pattern

*This product has minimum order quantity restriction.

** If your order quantity is little less than MOQ then please write us."," diary 2026, economy diary, economy paper diary, executive economy diary",NEW YEAR DIARY
PP Corporate Executive Diary 2026,https://drive.google.com/file/d/11N9HLIV29DfwpiAUgPgg9rQikWVpPpvj/view?usp=sharing,124 - 132/-,"Corporate Diary beautifully designed soft touch special cover with UV varnish, fine premium white, wide space for your advertisement. monthly planner page before every month, side index cutting. A perfect gift for this diwali & new year.

 

Size : B5 Executive (19 x 24.5 cms. OR 7.4 x 9.75 inches approx)
Paper Quality : Fine White Premium Paper
Page Format : Yearly dated with One Date a Page Format
Cover Binding : Hard Bound with spong padded
Monthly Planner : Yes
Month Cutting : Yes
Cover Colours : One Colour Pattern cover

” COD facility not available for this product “

*This product has minimum order quantity restriction.

** If your order quantity is little less than MOQ then please write us."," best 2026 diary, diary manufacturer, hard bound diary, new year diaries, planner diary, premium diary",NEW YEAR DIARY
"Desginer Corporate Planner Diary 2026
",https://drive.google.com/file/d/1AmbS3LE31iItGMkx9ECeIYYeoEyblGO5/view?usp=sharing,135 - 140/-,"Desginer Corporate Planner Diary 2026, special paper, beautifully designed special cover with UV varnish, wide space for your advertisement. monthly planner page before every month, side index cutting. A perfect gift for this diwali & new year.

 

Size : B5 Executive (19 x 24.5 cms. OR 7.4 x 9.75 inches approx)
Paper Quality : Fine Premium Paper
Page Format : Yearly dated with One Date a Page Format
Cover Binding : Hard Bound with foam padded
Monthly Planner : Yes
Month Cutting : Yes
Cover Colours : One Colour Pattern cover

” COD facility not available for this product “

*This product has minimum order quantity restriction.

** If your order quantity is little less than MOQ then please write us.","black corporte diary, black diary, corporate diary, diary for gifting, executive diary, hard cover diary, new year gift",NEW YEAR DIARY
"Go Green Executive Planner Diary J
",https://drive.google.com/file/d/1YKP2yIyUc8QKwOXReWnnQoh-46uRtLnu/view?usp=sharing,122 - 128/-,"Go Green Premium Planner R HB Diary , beautifully designed special theme cover with UV varnish, Go Green environment theme diary, fine premium paper, wide space for your advertisement. monthly planner page before every month, side index cutting. A perfect gift for this diwali & new year.

 

Size : B5 Executive (18.4 x 24.1 cms. OR 7.25 x 9.5 inches approx)
Paper Quality : Fine Premium Quality white Paper
Page Format : Yearly dated with One Date a Page Format
Cover Binding : Hard Bound with Special UV Varnish Coating
Monthly Planner : Yes
Month Cutting : Yes
Cover Colours : One Colour Pattern cover
Packing : Per pc. matching box packing

” COD facility not available for this product “

*This product has minimum order quantity restriction.

** If your order quantity is little less than MOQ then please write us.
","corporate diary, diary for gifting, executive diary, go green 2026 diary, go green diary, go green executive diary, go green hard bound diary, new year gift",NEW YEAR DIARY
Clean and Green Planner Diary 2026,https://drive.google.com/file/d/1YrEuSK0AyhCVZFabfkpi-AlRC0g0VHjq/view?usp=sharing,122 - 127/-,"Clean and green  Planner Diary , beautifully designed special theme cover with UV varnish, Go Green environment theme diary, fine premium paper, wide space for your advertisement. monthly planner page before every month, side index cutting. A perfect gift for this diwali & new year.

 

Size : B5 Executive (18.4 x 24.1 cms. OR 7.25 x 9.5 inches approx)
Paper Quality : Fine Premium Quality white paper
Page Format : Yearly dated with One Date a Page Format
Cover Binding : Hard Bound with Special UV Varnish Coating
Monthly Planner : Yes
Month Cutting : Yes
Cover Colours : One Colour Pattern cover
Packing : Per pc. matching box packing

 

” COD facility not available for this product “

*This product has minimum order quantity restriction.

** If your order quantity is little less than MOQ then please write us.","corporate diary, diary for gifting, executive diary, go green 2026 diary, go green diary, go green executive diary, go green hard bound diary, new year gift",NEW YEAR DIARY
"Go Green Executive Diary 2026 HB R
",https://drive.google.com/file/d/1RZTUt-AqlIsV8KQbeLmp_40UxafoJ_yQ/view?usp=sharing,117 - 123/-,"Environment Theme Planner Diary 2026, beautifully designed special theme cover with UV varnish, Go Green environment theme diary, fine premium paper, wide space for your advertisement. monthly planner page before every month, side index cutting. A perfect gift for this diwali & new year.

 

Size : B5 Executive (18.4 x 24.1 cms. OR 7.25 x 9.5 inches approx)
Paper Quality : Fine White Quality Paper
Page Format : Yearly dated with One Date a Page Format
Cover Binding : Hard Bound with Special UV Varnish Coating
Monthly Planner : Yes
Month Cutting : Yes
Cover Colours : One Colour Pattern cover
Packing : Each pc. matching box packing

” COD facility not available for this product “

*This product has minimum order quantity restriction.

** If your order quantity is little less than MOQ then please write us.","corporate diary, diary for gifting, executive diary, go green 2026 diary, go green diary, go green executive diary, go green hard bound diary, new year gift",NEW YEAR DIARY
Motivation Theme Planner HB Diary 2026,https://drive.google.com/file/d/1eR5BuKChGlhh7UnbhrdM-VD5--L5Rivl/view?usp=sharing,122 - 128/-,"Motivation Theme Planner HB Diary 2026, beautifully designed special theme cover with UV varnish, motivational thoughts theme diary, fine premium paper, wide space for your advertisement. monthly planner page before every month, side index cutting. A perfect gift for this diwali & new year.

 

Size : B5 Executive (18.4 x 24.1 cms. OR 7.25 x 9.5 inches approx)
Paper Quality : Fine Premium Quality Paper
Page Format : Yearly dated with One Date a Page Format
Cover Binding : Hard Bound
Monthly Planner : Yes
Month Cutting : Yes
Cover Colours : One Colour Pattern cover
Packing : Per pc. matching box packing

” COD facility not available for this product “

*This product has minimum order quantity restriction.

** If your order quantity is little less than MOQ then please write us.","corporate diary, diary 2026, diary for gifting, executive diary, motivation diary, motivation theme diary, new year gift, planner diary",NEW YEAR DIARY
"Burma Shell Eco Diary 2 Date HB
",https://drive.google.com/file/d/1OzftiyA8a3oodeKBT57v1h5Zb-H2CIP1/view?usp=sharing,44 - 49/-,"Burma Shell Eco Diary 2 Date HB best fit for large scale gifting. Best economic diaries for gifting on this diwali and new year.

 

Size : 6.25 x 8 inches (Approx)
Paper Quality : ECONOMY Paper
Page Format : Yearly dated with Two Date a Page Format
Cover Binding : Hard Bound
Monthly Planner : NO
Month Cutting : NO
Cover Colours : 8 Mix Colour cover

” COD facility not available for this product “

*This product has minimum order quantity restriction.

** If your order quantity is little less than MOQ then please write us."," diary, economy diary, hard bound diary",NEW YEAR DIARY
